,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
County with State,County ,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - 12-17,People who are fully vaccinated - 12-17,People who are fully vaccinated as % of population - 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Cook County, IL",Cook County ,17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,"  5,150,233 ",54.5%,40.6%,1.6%,  7 ,"  135,244 ",2.6%,2.1%,"  3,513 ",  68 ,  71 ,  1.4 ,-18%,-18%,2.0%,"  4,263 ",  83 ,  87 ,  1.7 ,"  552,055 ","  10,719 ","  10,245 ",  199 ,  -   ,  33 ,HighBurdenResolving,,Substantial,Substantial,2.7%,"  132,049 ","  2,564 ",  -   ,99%,-0.2%,-10%,  -   ,0%,3.0%,"  146,419 ","  2,843 ",  -   ,99%,  467 ,  3 ,"  1,064 ",  7 ,74%,4%,69%,10%,29%,3%,-14%,-3%,+2%,-1%,+2%,-1%,+1%,0%,  52 ,"  14,297 ","  1,753 ","  3,165 ",100%,96%,100%,100%,"  2,912,667 ",56.6%,"  2,088,828 ",40.6%,"  26,877 ",7.2%,"  80,810 ",2.0%,"  7,051 ",0.9%,,,,"  121,537 ",32.6%,"  35,320 ",9.5%,"  2,786,155 ",69.0%,"  2,053,479 ",50.9%,"  647,248 ",83.4%,"  514,275 ",66.3%,10%,15%,15%,  2.6 ,23%,26%,0%,8%,  0.68 ,  0.73 ,Likely Decreasing
"Miami-Dade County, FL",Miami-Dade County ,12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,"  2,716,940 ",44.1%,12.7%,0.8%,  3 ,"  60,195 ",2.2%,1.9%,"  3,090 ",  114 ,  67 ,  2.5 ,-26%,+14%,2.0%,"  4,190 ",  154 ,  59 ,  2.2 ,"  499,512 ","  18,385 ","  6,401 ",  236 ,  -   ,  31 ,SustainedHotspot,,High,High,5.5%,"  105,986 ","  3,901 ",,,-0.7%,-6%,,,6.2%,"  113,162 ","  4,165 ",,,  339 ,  6 ,  89 ,  1 ,83%,7%,77%,11%,26%,4%,-17%,-15%,-1%,0%,0%,-1%,0%,-1%,  22 ,"  6,140 ",  985 ,"  1,878 ",100%,95%,100%,100%,"  1,533,803 ",56.5%,"  1,152,350 ",42.4%,"  9,763 ",5.4%,"  59,764 ",2.8%,"  4,481 ",1.0%,,,,"  38,701 ",21.2%,"  12,086 ",6.6%,"  1,494,727 ",69.0%,"  1,140,208 ",52.6%,"  419,454 ",92.7%,"  339,691 ",75.1%,18%,18%,17%,  3.1 ,15%,69%,0%,2%,  0.82 ,  0.81 ,Uncertain
"Maricopa County, AZ",Maricopa County ,4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,"  4,485,414 ",90.7%,61.6%,1.4%,  3 ,"  83,484 ",1.9%,1.6%,"  2,644 ",  59 ,  57 ,  1.3 ,-12%,+43%,1.4%,"  3,019 ",  67 ,  40 ,  0.9 ,"  548,519 ","  12,229 ","  10,031 ",  224 ,  -   ,  11 ,HighBurdenResolving,,Substantial,Substantial,4.7%,"  56,670 ","  1,263 ",  1.0 ,100%,-0.8%,-8%,  -   ,+1%,5.5%,"  61,480 ","  1,371 ",  1.0 ,99%,  263 ,  3 ,  530 ,  5 ,66%,3%,50%,6%,27%,3%,+3%,-10%,0%,0%,-1%,-2%,-1%,-1%,  42 ,"  10,120 ","  1,457 ","  1,637 ",100%,98%,100%,100%,"  1,908,622 ",42.6%,"  1,454,528 ",32.4%,"  13,397 ",3.7%,"  42,086 ",1.2%,"  3,951 ",0.6%,,,,"  60,931 ",16.7%,"  22,484 ",6.2%,"  1,847,557 ",53.8%,"  1,432,021 ",41.7%,"  566,732 ",81.4%,"  466,699 ",67.0%,11%,15%,16%,  2.8 ,6%,31%,2%,4%,  0.64 ,  0.22 ,Uncertain
"Harris County, TX",Harris County ,48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,"  4,713,325 ",66.7%,16.3%,1.4%,  3 ,"  56,479 ",1.2%,1.3%,"  2,053 ",  44 ,  63 ,  1.3 ,+51%,+21%,0.6%,"  1,362 ",  29 ,  52 ,  1.1 ,"  399,390 ","  8,474 ","  6,420 ",  136 ,  -   ,  76 ,EmergingHotspot,,Moderate,Moderate,4.1%,"  48,134 ","  1,021 ",  1.0 ,99%,-0.6%,-10%,  -   ,0%,4.7%,"  53,197 ","  1,129 ",  1.0 ,99%,  349 ,  3 ,  610 ,  5 ,80%,4%,78%,12%,38%,4%,-27%,-1%,0%,-1%,-1%,-1%,-1%,-1%,  51 ,"  11,934 ","  1,302 ","  3,116 ",94%,90%,96%,94%,,,,,,,,,,,,,,,,,,,,,,,,,,20%,16%,11%,  2.9 ,19%,44%,0%,7%,  0.72 ,  0.56 ,Uncertain
"Broward County, FL",Broward County ,12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,"  1,952,778 ",31.7%,9.1%,0.6%,  1 ,"  13,150 ",0.7%,0.9%,"  1,495 ",  77 ,  33 ,  1.7 ,-19%,-38%,0.9%,"  1,845 ",  94 ,  53 ,  2.7 ,"  244,130 ","  12,502 ","  3,064 ",  157 ,  -   ,  32 ,HighBurdenResolving,,Substantial,Substantial,4.9%,"  49,353 ","  2,527 ",,,-0.9%,-8%,,,5.7%,"  53,702 ","  2,750 ",,,  249 ,  5 ,  97 ,  2 ,76%,6%,79%,15%,35%,5%,-25%,+13%,0%,-2%,-2%,-3%,-1%,-1%,  15 ,"  4,606 ",  495 ,  959 ,100%,100%,100%,100%,"  1,004,604 ",51.4%,"  757,297 ",38.8%,"  7,011 ",5.0%,"  30,988 ",2.0%,"  2,743 ",0.8%,,,,"  29,056 ",20.8%,"  8,999 ",6.4%,"  975,069 ",63.2%,"  748,260 ",48.5%,"  300,945 ",89.9%,"  244,125 ",73.0%,15%,13%,17%,  2.8 ,28%,31%,0%,4%,  0.58 ,  0.61 ,Likely Decreasing
"Hillsborough County, FL",Hillsborough County ,12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,"  1,471,968 ",46.1%,6.9%,0.4%,  2 ,"  40,510 ",2.8%,0.9%,"  1,433 ",  97 ,  31 ,  2.1 ,-24%,-18%,0.9%,"  1,895 ",  129 ,  38 ,  2.6 ,"  142,259 ","  9,665 ","  1,816 ",  123 ,  -   ,  27 ,SustainedHotspot,,Substantial,High,4.3%,"  23,603 ","  1,603 ",,,-0.8%,-10%,,,5.1%,"  26,107 ","  1,774 ",,,  216 ,  5 ,  135 ,  3 ,80%,4%,74%,8%,25%,3%,-14%,-6%,-2%,-1%,-3%,-1%,-2%,-1%,  12 ,"  4,095 ",  528 ,  639 ,100%,92%,100%,100%,"  668,831 ",45.4%,"  499,681 ",33.9%,"  3,860 ",3.6%,"  15,222 ",1.3%,"  1,392 ",0.7%,,,,"  17,265 ",15.9%,"  5,602 ",5.2%,"  651,438 ",56.8%,"  494,067 ",43.1%,"  194,958 ",91.1%,"  144,368 ",67.5%,13%,15%,15%,  2.6 ,16%,30%,0%,4%,  0.67 ,  0.50 ,Uncertain
"El Paso County, CO",El Paso County ,8041,Medium metro,"Colorado Springs, CO",Metropolitan,CO,8,"  720,403 ",96.6%,12.5%,0.2%,  1 ,"  15,157 ",2.1%,0.9%,"  1,432 ",  199 ,  5 ,  0.7 ,-5%,-67%,0.7%,"  1,508 ",  209 ,  15 ,  2.1 ,"  69,736 ","  9,680 ",  830 ,  115 ,  -   ,  14 ,SustainedHotspot,,High,High,6.3%,"  18,602 ","  2,582 ",  1.0 ,99%,-0.7%,-1%,  -   ,0%,7.1%,"  18,813 ","  2,611 ",  1.0 ,99%,  69 ,  9 ,  387 ,  49 ,74%,7%,75%,16%,34%,12%,+10%,+1792%,-1%,-2%,+2%,+1%,0%,+1%,  4 ,  782 ,  123 ,  199 ,100%,100%,100%,100%,"  244,974 ",34.0%,"  217,039 ",30.1%,"  3,465 ",6.1%,"  10,346 ",1.9%,  715 ,0.8%,,,,"  12,636 ",22.1%,"  4,462 ",7.8%,"  231,885 ",42.3%,"  212,572 ",38.7%,"  28,675 ",30.1%,"  46,928 ",49.3%,7%,11%,13%,  2.6 ,6%,18%,1%,3%,  0.39 ,  0.16 ,Likely Decreasing
"Los Angeles County, CA",Los Angeles County ,6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,"  10,039,107 ",76.0%,25.4%,3.0%,  11 ,"  260,018 ",2.6%,0.9%,"  1,396 ",  14 ,  79 ,  0.8 ,-16%,-7%,0.8%,"  1,654 ",  16 ,  85 ,  0.8 ,"  1,239,306 ","  12,345 ","  24,212 ",  241 ,  -   ,  130 ,ModerateBurden,,Moderate,Moderate,0.3%,"  405,818 ","  4,042 ",,,-0.1%,-3%,,,0.5%,"  418,776 ","  4,171 ",,,  327 ,  2 ,  486 ,  3 ,74%,2%,67%,4%,22%,1%,-12%,-14%,0%,0%,-1%,0%,0%,0%,  90 ,"  17,455 ","  2,054 ","  5,230 ",96%,93%,99%,96%,"  5,324,329 ",53.0%,"  4,275,523 ",42.6%,"  41,341 ",5.7%,"  98,575 ",1.2%,"  7,851 ",0.6%,,,,"  213,159 ",29.4%,"  87,838 ",12.1%,"  5,103,568 ",64.6%,"  4,187,459 ",53.0%,"  1,134,991 ",80.3%,"  965,332 ",68.3%,11%,16%,14%,  3.0 ,8%,49%,0%,15%,  0.77 ,  0.49 ,Uncertain
"Pierce County, WA",Pierce County ,53053,Large fringe metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,"  904,980 ",22.7%,11.9%,0.3%,  -   ,"  12,697 ",1.4%,0.9%,"  1,394 ",  154 ,  15 ,  1.7 ,+23%,+400%,0.5%,"  1,136 ",  126 ,  3 ,  0.3 ,"  54,357 ","  6,006 ",  686 ,  76 ,  -   ,  10 ,EmergingHotspot,,High,High,3.9%,"  8,406 ",  929 ,,,-1.6%,-38%,,,5.6%,"  13,566 ","  1,499 ",,,  78 ,  5 ,  551 ,  34 ,70%,7%,88%,16%,42%,7%,-8%,+8%,-1%,-1%,0%,0%,+1%,-3%,  6 ,"  1,633 ",  193 ,  181 ,100%,100%,100%,100%,"  418,805 ",46.3%,"  329,344 ",36.4%,"  5,286 ",7.8%,"  13,791 ",2.0%,  930 ,0.7%,,,,"  16,140 ",24.0%,"  4,324 ",6.4%,"  402,631 ",58.0%,"  325,011 ",46.8%,"  107,254 ",83.5%,"  98,616 ",76.8%,7%,11%,14%,  2.7 ,7%,11%,1%,7%,  0.49 ,  0.26 ,Uncertain
